SN.,Roll No,Batch / Term Code,Course Code,Course,Credit,Grade,SPI,CPI
1,Student 1,Semester 2,HSS205*,Introduction to Sociology,4,C,5.8,6.2
2,Student 1,Semester 8,DES399,Independent Project,4,A-,6.8,6.89
3,Student 1,Semester 7,HSS204*,Introduction to Psychology,4,C,6.0,6.76
4,Student 1,Semester 5,CSE539,Cellular Data Networks,4,A-,8.0,6.75
5,Student 1,Semester 6,DES399,Independent Project,4,B,7.75,6.89
6,Student 1,Semester 8,HSS216*,Positive Psychology,4,A-,6.8,6.89
7,Student 1,Semester 5,DES303*,Non Linear Editing,4,A-,8.0,6.75
8,Student 1,Semester 1,MTH100,Maths I,4,C-,6.6,6.6
9,Student 1,Semester 5,CSE506,Data Mining,4,D,8.0,6.75
10,Student 1,Semester 7,CSE350,Network Security,4,B,6.0,6.76
11,Student 1,Summer Term 4,CSE511,Computer Architecture,4,C,6.0,6.87
12,Student 1,Semester 3,ESC205,Environmental Sciences,4,B,6.8,6.4
13,Student 1,Semester 4,BIO303*,Introduction to Mathematical Biology,4,A-,6.8,6.5
14,Student 1,Semester 7,CSE534,Advanced Networks,4,D,6.0,6.76
15,Student 1,Semester 6,HSS213*,Issues in Contemporary World,4,A-,7.75,6.89
16,Student 1,Semester 2,DES130,Introduction to Engineering Design,4,B,5.8,6.2
17,Student 1,Semester 6,DES302,Animations and Graphics,4,B-,7.75,6.89
18,Student 1,Semester 1,CSE111,Digital Circuits,4,C,6.6,6.6
19,Student 1,Semester 5,HSS210*,History of Indian National Movement,4,A,8.0,6.75
20,Student 1,Semester 3,CSE201,Advanced Programming,4,B,6.8,6.4
21,Student 1,Semester 1,COM101,Communication Skills,4,B,6.6,6.6
22,Student 1,Semester 2,CSE102,Data Structures and Algorithms,4,D,5.8,6.2
23,Student 1,Semester 2,MTH201,Probability and Statistics ,4,B-,5.8,6.2
24,Student 1,Semester 2,CSE112,Computer Organisation,4,D,5.8,6.2
25,Student 1,Semester 8,CSE501,Designing Human-Centered Systems,4,B,6.8,6.89
