SN.,Roll No,Batch / Term Code,Course Code,Course,Credit,Grade,SPI,CPI
1,Student 1,Semester 1,CSE101,Introduction to Programming,4,F,4.75,4.75
2,Student 1,Semester 3,CSE201,Advanced Programming,4,I,,
3,Student 1,Semester 1,CSE111,Digital Circuits,4,C,4.75,4.75
4,Student 1,Semester 1,COM101,Communication Skills,4,B-,4.75,4.75
5,Student 1,Semester 3,CSE231,Operating Systems ,4,I,,
6,Student 1,Semester 3,MTH201,Probability and Statistics ,4,I,,
7,Student 1,Semester 2,CSE102,Data Structures and Algorithms,4,F,5.0,4.88
8,Student 1,Semester 2,CSE122*,Theory of Computation,4,D,5.0,4.88
9,Student 1,Semester 3,COM201,Critical Reading,4,I,,
10,Student 1,Semester 2,HSS101*,Technology and Society,4,C,5.0,4.88
11,Student 1,Semester 1,CSE121,Discrete Mathematics,4,D,4.75,4.75
12,Student 1,Semester 2,CSE112,Computer Organisation,4,B-,5.0,4.88
13,Student 1,Semester 3,MTH101,Linear Algebra and Advanced Calculus,4,I,,
14,Student 1,Semester 2,CSE131-1*,System Management,2,B-,5.0,4.88
15,Student 2,Semester 6,CSE232,Computer Networks,4,D,3.6,3.97
16,Student 2,Semester 4,CSE232,Computer Networks,4,F,3.6,3.25
17,Student 2,Semester 8,MTH202,Maths : Algebra,4,D,5.92,4.83
18,Student 2,Semester 5,CSE511,Computer Architecture,4,F,5.1,3.96
19,Student 2,Semester 3,CSE201,Advanced Programming,4,,3.17,2.67
20,Student 2,Semester 3,COM201,Critical Reading,4,F,3.17,2.67
21,Student 2,Semester 4,CSE112,Computer Organisation,4,D,3.6,3.25
22,Student 2,Semester 6,CSE535,Mobile Computing,4,F,3.6,3.97
23,Student 2,Semester 3,CSE231,Operating Systems ,4,,3.17,2.67
24,Student 2,Semester 3,MTH201,Probability and Statistics ,4,F,3.17,2.67
25,Student 2,Semester 6,COM301,Technical Communication,4,C,3.6,3.97
26,Student 2,Semester 5,FIN401,Foundations of Finance ,4,C-,5.1,3.96
27,Student 2,Semester 3,CSE231,Operating Systems ,4,C-,3.17,2.67
28,Student 2,Semester 4,CSE222,Analysis and Design of Algorithms,4,D,3.6,3.25
29,Student 2,Semester 8,CSE538*,Ad-hoc Wireless Networks,4,B-,5.92,4.83
30,Student 2,Semester 5,CSE694C,Privacy and Security in Online Social Media,2,B,5.1,3.96
31,Student 2,Semester 7,CSE506,Data Mining,4,C-,5.9,4.52
32,Student 2,Semester 8,BIO505*,Introduction to Computational Neuroscience,4,C-,5.92,4.83
33,Student 2,Semester 7,ECO301,Introduction to Economic Analysis,4,D,5.9,4.52
34,Student 2,Semester 6,CSE606,Data Warehousing,4,D,3.6,3.97
35,Student 2,Semester 6,ECO301,Introduction to Economic Analysis,4,F,3.6,3.97
36,Student 2,Semester 5,PHS501,Integrated Health Information Architectures,2,B-,5.1,3.96
37,Student 2,Semester 8,ENT402,Entrepreneurship: Managing a Venture,2,B-,5.92,4.83
38,Student 2,Semester 7,CSE694E,Introduction to Geospatial Data Management,2,A-,5.9,4.52
39,Student 2,Semester 7,ENT401,Entrepreneurship as a Career,2,C,5.9,4.52
40,Student 2,Semester 4,HSS204*,Introduction to Psychology,4,C,3.6,3.25
41,Student 2,Semester 5,PHY301,Physics,4,C,5.1,3.96
42,Student 2,Semester 8,COM333,Organisational Behavior,2,B,5.92,4.83
43,Student 2,Semester 4,ESC202,Digital Communication,4,F,3.6,3.25
44,Student 2,Semester 7,CSE300,Software Engineering ,4,C,5.9,4.52
45,Student 2,Semester 8,PHY302,Semiconductors and Optics,4,B-,5.92,4.83
46,Student 2,Semester 3,MTH201,Probability and Statistics ,4,F,3.17,2.67
47,Student 2,Semester 5,BTY301,Introduction to Biotechnology ,4,C-,5.1,3.96
48,Student 2,Semester 8,CSE440,Intelligent Systems 1,4,C-,5.92,4.83
49,Student 2,Semester 7,CSE501,Designing Human-Centered Systems,4,B-,5.9,4.52
50,Student 2,Semester 3,CSE201,Advanced Programming,4,D,3.17,2.67
51,Student 2,Semester 3,MTH101,Linear Algebra and Advanced Calculus,4,D,3.17,2.67
52,Student 3,Semester 5,FIN401,Foundations of Finance ,4,C-,4.25,4.97
53,Student 3,Semester 3,COM201,Critical Reading,4,F,2.8,4.74
54,Student 3,Semester 1,CSE111,Digital Circuits,4,B,6.25,6.25
55,Student 3,Semester 6,CSE232,Computer Networks,4,,,
56,Student 3,Semester 2,CSE122*,Theory of Computation,4,B-,5.56,5.88
57,Student 3,Semester 4,CSE222,Analysis and Design of Algorithms,4,D,5.0,4.8
58,Student 3,Semester 2,CSE102,Data Structures and Algorithms,4,C,5.56,5.88
59,Student 3,Semester 5,MTH201,Probability and Statistics ,4,D,4.25,4.97
60,Student 3,Semester 4,CSE202,Fundamentals of Database Systems,4,C,5.0,4.8
61,Student 3,Semester 4,CSE232,Computer Networks,4,F,5.0,4.8
62,Student 3,Semester 1,COM101,Communication Skills,4,B-,6.25,6.25
63,Student 3,Semester 5,COM201,Critical Reading,4,F,4.25,4.97
64,Student 3,Semester 5,ESC203*,Signal and Systems,4,C,4.25,4.97
65,Student 3,Semester 3,CSE231,Operating Systems ,4,F,2.8,4.74
66,Student 3,Semester 2,HSS101*,Technology and Society,4,F,5.56,5.88
67,Student 3,Semester 3,CSE201,Advanced Programming,4,D,2.8,4.74
68,Student 3,Semester 6,HSS204*,Introduction to Psychology,4,,,
69,Student 3,Semester 1,CSE121,Discrete Mathematics,4,C,6.25,6.25
70,Student 3,Semester 2,CSE131-1*,System Management,2,C,5.56,5.88
71,Student 3,Semester 2,CSE112,Computer Organisation,4,B-,5.56,5.88
72,Student 3,Semester 3,MTH201,Probability and Statistics ,4,F,2.8,4.74
73,Student 3,Semester 3,MTH101,Linear Algebra and Advanced Calculus,4,D,2.8,4.74
74,Student 3,Semester 1,CSE101,Introduction to Programming,4,D,6.25,6.25
75,Student 3,Semester 4,HSS202*,Perspectives on Knowledge,4,B,5.0,4.8
76,Student 3,Semester 6,CSE535,Mobile Computing,4,,,
77,Student 3,Semester 6,ECO301,Introduction to Economic Analysis,4,,,
78,Student 3,Semester 5,CSE500,Secure Coding,4,W,4.25,4.97
79,Student 4,Semester 8,CSE531,Multiagent Systems,4,A-,9.4,8.89
80,Student 4,Semester 2,CSE131-1*,System Management,2,A-,8.33,8.18
81,Student 4,Semester 4,ESC202,Digital Communication,4,B-,7.4,8.24
82,Student 4,Semester 8,CSE330,Distributed Systems ,4,A,9.4,8.89
83,Student 4,Semester 7,CSE343,Machine Learning,4,A,10.0,8.82
84,Student 4,Semester 2,HSS201*,Research Methods,4,A-,8.33,8.18
85,Student 4,Semester 6,CSE606,Data Warehousing,4,A,9.8,8.65
86,Student 4,Semester 6,CSE342*,Pattern Recognition,4,A,9.8,8.65
87,Student 4,Semester 5,CSE546,Applied Cryptography,4,B,9.0,8.4
88,Student 4,Semester 6,FIN402,Valuation and Portfolio Management,4,A,9.8,8.65
89,Student 4,Semester 3,CSE231,Operating Systems ,4,A-,9.2,8.56
90,Student 4,Semester 4,HSS204*,Introduction to Psychology,4,B-,7.4,8.24
91,Student 4,Semester 7,CSE501,Designing Human-Centered Systems,4,A,10.0,8.82
92,Student 4,Semester 3,MTH201,Probability and Statistics ,4,A-,9.2,8.56
93,Student 4,Semester 5,CSE300,Software Engineering ,4,A-,9.0,8.4
94,Student 4,Semester 1,CSE121,Discrete Mathematics,4,B-,8.0,8.0
95,Student 4,Semester 3,COM201,Critical Reading,4,A,9.2,8.56
96,Student 4,Semester 1,COM101,Communication Skills,4,A-,8.0,8.0
97,Student 4,Semester 1,CSE101,Introduction to Programming,4,B,8.0,8.0
98,Student 4,Semester 7,CSE399,Independent Project,4,A+,10.0,8.82
99,Student 4,Semester 6,HSS206*,Introduction to Film Studies,4,A,9.8,8.65
100,Student 4,Semester 3,CSE201,Advanced Programming,4,B,9.2,8.56
