SN.,Roll No,Batch / Term Code,Course Code,Course,Credit,Grade,SPI,CPI
1,Student 1,Semester 4,CSE232,Computer Networks,4,C-,4.0,5.07
2,Student 1,Semester 1,MTH100,Maths I,4,C-,5.2,5.2
3,Student 1,Summer Term 4,CSE499,BTech Project,4,A-,5.5,5.57
4,Student 1,Semester 6,CSE352,Security Engineering,4,F,2.91,5.11
5,Student 1,Summer Term 4,CSE102,Data Structures and Algorithms,4,F,5.5,5.57
6,Student 1,Semester 7,DES513,"Wearable Applications, Research, Devices, Interactions",4,D,6.25,5.42
7,Student 1,Semester 5,HSS204*,Introduction to Psychology,4,D,3.2,5.0
8,Student 1,Semester 7,CSE999A,Distance Course in CSE,2,X,6.25,5.42
9,Student 1,Semester 4,ESC205A,Environmental Sciences,2,B-,4.0,5.07
10,Student 1,Semester 9,CSE506,Data Mining,4,,,
11,Student 1,Semester 7,CSE648,Privacy and Security in Online Social Media,4,W,6.25,5.42
12,Student 1,Semester 4,CSE222,Analysis and Design of Algorithms,4,F,4.0,5.07
13,Student 1,Semester 4,ECE240,Principles of Communication Systems,4,F,4.0,5.07
14,Student 1,Semester 5,CSE121,Discrete Mathematics,4,F,3.2,5.0
15,Student 1,Semester 9,DESI3DA,Introduction to 3D Animantion,2,,,
16,Student 1,Semester 9,CSE640,Collaborative Filtering,4,,,
17,Student 1,Semester 7,DES303*,Non Linear Editing,4,B-,6.25,5.42
18,Student 1,Semester 6,HSS226A*,Indian Poetry Through The Ages,2,F,2.91,5.11
19,Student 1,Semester 9,CSE121,Discrete Mathematics,4,,,
20,Student 1,Semester 3,CSE231,Operating Systems ,4,C-,3.4,5.0
21,Student 1,Semester 3,CSE121,Discrete Mathematics,4,F,3.4,5.0
22,Student 1,Semester 3,MTH203,Maths III,4,F,3.4,5.0
23,Student 1,Semester 3,CSE201,Advanced Programming,4,D,3.4,5.0
24,Student 1,Semester 4,CSE202,Fundamentals of Database Systems,4,D,4.0,5.07
25,Student 1,Semester 4,COM301A,Technical Communication,2,B-,4.0,5.07
26,Student 1,Semester 6,HSS220*,IT & Governance,4,B-,2.91,5.11
27,Student 1,Semester 9,SSH121,Introduction to Philosophy,4,,,
28,Student 1,Semester 6,CSE524,Theory of Modern Cryptography,4,F,2.91,5.11
29,Student 1,Semester 6,MTH201,Probability and Statistics ,4,F,2.91,5.11
30,Student 1,Semester 7,BIO562,Stochastic Simulation and Systems Biology,4,B,6.25,5.42
31,Student 1,Semester 5,CSE345,Foundations of Computer Security,4,D,3.2,5.0
32,Student 1,Semester 6,CSE102,Data Structures and Algorithms,4,F,2.91,5.11
33,Student 1,Semester 7,HSS229*,Introduction to Digital Ethnography,4,C,6.25,5.42
34,Student 1,Summer Term 2,ENT403,Starting a Venture,4,B-,7.0,5.2
35,Student 1,Semester 8,SSH214,Introduction to the Study of Literature,4,D,4.75,5.44
36,Student 1,Semester 8,CSE999A2,Distance Course in CSE,2,S,4.75,5.44
37,Student 1,Semester 8,CSE499,BTech Project,4,A-,4.75,5.44
38,Student 1,Semester 5,MTH203,Maths III,4,F,3.2,5.0
39,Student 1,Semester 5,CSE535,Mobile Computing,4,D,3.2,5.0
40,Student 1,Semester 3,HSS218*,Philosophy of Religion,4,D,3.4,5.0
41,Student 1,Semester 8,CSE999A,Distance Course in CSE,2,S,4.75,5.44
42,Student 1,Semester 9,CSE643,Artificial Intelligence,4,,,
43,Student 1,Summer Term 3,MSC200,Domain Study and Solution Prototyping,4,B,5.0,5.25
44,Student 1,Semester 8,BIO531,Introduction to Mathematical Biology,4,D,4.75,5.44
45,Student 1,Semester 1,COM101,Communication Skills,4,B-,5.2,5.2
46,Student 1,Semester 1,CSE101,Introduction to Programming,4,C-,5.2,5.2
47,Student 1,Semester 8,CSE222,Analysis and Design of Algorithms,4,F,4.75,5.44
48,Student 1,Summer Term 3,CSE102,Data Structures and Algorithms,4,F,5.0,5.25
49,Student 1,Semester 2,MTH201,Probability and Statistics ,4,F,4.0,5.25
50,Student 1,Summer Term 2,CSE999A2,Distance Course in CSE,2,S,7.0,5.2
51,Student 1,Semester 2,DES130,Introduction to Engineering Design,4,C,4.0,5.25
52,Student 1,Semester 2,CSE102,Data Structures and Algorithms,4,F,4.0,5.25
53,Student 1,Semester 2,CSE112,Computer Organisation,4,D,4.0,5.25
54,Student 1,Semester 2,HSS208*,Theory and Practice of Engineering Ethics,4,C,4.0,5.25
55,Student 1,Semester 1,CSE111,Digital Circuits,4,D,5.2,5.2
56,Student 1,Semester 1,CSE131,System Management,4,C-,5.2,5.2
57,Student 2,Semester 5,CSE345,Foundations of Computer Security,4,B,5.8,5.7
58,Student 2,Semester 7,HSS223A*,Introduction to Poetry,2,B-,6.56,6.09
59,Student 2,Semester 7,CSE340*,Image Analysis ,4,C-,6.56,6.09
60,Student 2,Semester 2,CSE112,Computer Organisation,4,C-,4.2,5.5
61,Student 2,Semester 6,HSS226A*,Indian Poetry Through The Ages,2,B,6.6,5.86
62,Student 2,Semester 2,DES130,Introduction to Engineering Design,4,C,4.2,5.5
