SN.,Roll No,Batch / Term Code,Course Code,Course,Credit,Grade,SPI,CPI
1,Student 1,Semester 3,ESC201,Transducer And Signal Conditioning,4,B-,7.0,6.73
2,Student 1,Semester 4,CSE232,Computer Networks,4,C,7.0,6.8
3,Student 1,Semester 6,COM301,Technical Communication,4,C,6.0,6.66
4,Student 1,Semester 5,CSE535,Mobile Computing,4,C-,6.75,6.79
5,Student 1,Semester 5,CSE506,Data Mining,4,B-,6.75,6.79
6,Student 1,Semester 4,ESC204,Quantitative and Qualitative Research Methods,4,B,7.0,6.8
7,Student 1,Semester 3,CSE231,Operating Systems ,4,C,7.0,6.73
8,Student 1,Semester 4,CSE222,Analysis and Design of Algorithms,4,C-,7.0,6.8
9,Student 1,Semester 5,ECO301,Introduction to Economic Analysis,4,B-,6.75,6.79
10,Student 1,Semester 5,CSE300,Software Engineering ,4,B,6.75,6.79
11,Student 1,Semester 1,CSE131,System Management,4,C,6.8,6.8
12,Student 1,Semester 4,CSE202,Fundamentals of Database Systems,4,B,7.0,6.8
13,Student 1,Semester 1,CSE101,Introduction to Programming,4,B-,6.8,6.8
14,Student 1,Semester 1,COM101,Communication Skills,4,B,6.8,6.8
15,Student 1,Semester 2,HSS101*,Technology and Society,4,C,6.4,6.6
16,Student 1,Semester 6,MTH202,Maths : Algebra,4,C-,6.0,6.66
17,Student 1,Semester 8,CSE501,Designing Human-Centered Systems,4,C-,6.75,6.76
18,Student 1,Semester 6,BIO505*,Introduction to Computational Neuroscience,4,C,6.0,6.66
19,Student 1,Semester 2,CSE122*,Theory of Computation,4,C,6.4,6.6
20,Student 1,Semester 8,PHY302,Semiconductors and Optics,4,C,6.75,6.76
21,Student 1,Semester 6,HSS206*,Introduction to Film Studies,4,B-,6.0,6.66
22,Student 1,Semester 3,COM201,Critical Reading,4,A,7.0,6.73
23,Student 1,Semester 7,CSE694E,Introduction to Geospatial Data Management,2,B,7.44,6.76
24,Student 1,Summer Term 4,CSE999A,Distance Course in CSE,2,S,,
25,Student 1,Semester 7,CSE691B,Web Intelligence and Big Data,2,B-,7.44,6.76
26,Student 1,Semester 6,CSE694F,Multimedia Security,4,C,6.0,6.66
27,Student 1,Semester 4,HSS204*,Introduction to Psychology,4,B,7.0,6.8
28,Student 1,Semester 7,PHY301,Physics,4,C,7.44,6.76
29,Student 1,Semester 8,BIO303*,Introduction to Mathematical Biology,4,B,6.75,6.76
30,Student 1,Semester 3,MTH201,Probability and Statistics ,4,D,7.0,6.73
31,Student 1,Semester 8,HSS213*,Issues in Contemporary World,4,B,6.75,6.76
32,Student 1,Semester 7,CSE693B,Special Topics in Test Engineering,2,B,7.44,6.76
33,Student 1,Semester 7,CSE340*,Image Analysis ,4,B-,7.44,6.76
34,Student 1,Semester 2,CSE112,Computer Organisation,4,C,6.4,6.6
35,Student 1,Semester 2,MTH101,Linear Algebra and Advanced Calculus,4,C,6.4,6.6
36,Student 1,Semester 2,CSE102,Data Structures and Algorithms,4,B,6.4,6.6
37,Student 1,Semester 7,HSS210*,History of Indian National Movement,4,A-,7.44,6.76
38,Student 1,Semester 1,CSE121,Discrete Mathematics,4,B-,6.8,6.8
39,Student 1,Semester 3,CSE201,Advanced Programming,4,B,7.0,6.73
40,Student 1,Semester 1,CSE111,Digital Circuits,4,C,6.8,6.8
41,Student 2,Semester 1,CSE111,Digital Circuits,4,F,3.2,8.0
42,Student 2,Semester 1,COM101,Communication Skills,4,B,3.2,8.0
43,Student 2,Semester 1,CSE131,System Management,4,F,3.2,8.0
44,Student 2,Semester 1,CSE121,Discrete Mathematics,4,F,3.2,8.0
45,Student 2,Semester 1,CSE101,Introduction to Programming,4,F,3.2,8.0
46,Student 3,Semester 7,CSE694E,Introduction to Geospatial Data Management,2,A,8.22,7.82
47,Student 3,Semester 7,ECO303,Economics of Information and IT,4,C,8.22,7.82
48,Student 3,Semester 4,CSE232,Computer Networks,4,B,7.6,7.7
49,Student 3,Semester 4,HSS204*,Introduction to Psychology,4,B,7.6,7.7
50,Student 3,Semester 7,CSE691B,Web Intelligence and Big Data,2,A,8.22,7.82
51,Student 3,Semester 6,PHY302,Semiconductors and Optics,4,B,8.11,7.74
52,Student 3,Semester 6,CSE330,Distributed Systems ,4,A-,8.11,7.74
53,Student 3,Semester 5,CSE506,Data Mining,4,B,6.4,7.67
54,Student 3,Semester 2,HSS202*,Perspectives on Knowledge,4,B,7.6,7.7
55,Student 3,Semester 5,CSE535,Mobile Computing,4,F,6.4,7.67
56,Student 3,Semester 1,CSE111,Digital Circuits,4,B,7.8,7.8
57,Student 3,Semester 8,CSE501,Designing Human-Centered Systems,4,B,8.56,7.91
58,Student 3,Semester 1,CSE121,Discrete Mathematics,4,C,7.8,7.8
59,Student 3,Semester 1,CSE101,Introduction to Programming,4,B,7.8,7.8
60,Student 3,Semester 1,CSE131,System Management,4,B,7.8,7.8
61,Student 3,Semester 7,CSE399,Independent Project,4,A-,8.22,7.82
62,Student 3,Semester 2,CSE112,Computer Organisation,4,B,7.6,7.7
63,Student 3,Semester 2,CSE102,Data Structures and Algorithms,4,B,7.6,7.7
64,Student 3,Semester 2,CSE122*,Theory of Computation,4,B-,7.6,7.7
65,Student 3,Semester 3,CSE201,Advanced Programming,4,B,7.8,7.73
66,Student 3,Semester 3,COM201,Critical Reading,4,A-,7.8,7.73
67,Student 3,Semester 3,CSE231,Operating Systems ,4,A-,7.8,7.73
68,Student 3,Semester 3,MTH201,Probability and Statistics ,4,D,7.8,7.73
69,Student 3,Semester 3,ESC201,Transducer And Signal Conditioning,4,A-,7.8,7.73
70,Student 3,Semester 4,CSE222,Analysis and Design of Algorithms,4,B-,7.6,7.7
71,Student 3,Semester 4,CSE202,Fundamentals of Database Systems,4,B-,7.6,7.7
72,Student 3,Semester 6,COM333,Organisational Behavior,2,A-,8.11,7.74
73,Student 3,Semester 5,ECO301,Introduction to Economic Analysis,4,B-,6.4,7.67
74,Student 3,Semester 5,PHY301,Physics,4,B,6.4,7.67
75,Student 3,Semester 5,CSE300,Software Engineering ,4,B-,6.4,7.67
76,Student 3,Semester 6,CSE522,Verification of Reactive Systems,4,B-,8.11,7.74
77,Student 3,Semester 8,HSS213*,Issues in Contemporary World,4,B,8.56,7.91
78,Student 3,Semester 1,COM101,Communication Skills,4,A-,7.8,7.8
79,Student 3,Semester 2,MTH101,Linear Algebra and Advanced Calculus,4,B-,7.6,7.7
80,Student 3,Semester 7,CSE693B,Special Topics in Test Engineering,2,B,8.22,7.82
81,Student 3,Semester 7,COM301,Technical Communication,4,B,8.22,7.82
82,Student 3,Semester 6,ECO302,Applied Econometric Analysis,4,B,8.11,7.74
83,Student 3,Semester 8,FIN401A,Introduction To Finance and Capital Markets,2,B-,8.56,7.91
84,Student 3,Semester 8,CSE399,Independent Project,4,A,8.56,7.91
85,Student 3,Semester 8,DES302,Animations and Graphics,4,A-,8.56,7.91
86,Student 3,Summer Term 3,MSC472,Study of Domains and Communities for Innovation using ICT,2,A-,9.0,7.76
87,Student 3,Semester 4,ESC204,Quantitative and Qualitative Research Methods,4,B,7.6,7.7
88,Student 4,Semester 6,COM301,Technical Communication,4,A-,8.5,8.14
89,Student 4,Semester 7,CSE499B,BTech Project,6,A,9.33,8.29
90,Student 4,Semester 4,HSS207*,Human Values and Professional Ethics,4,B,8.4,8.3
91,Student 4,Semester 6,CSE398A-1,Independent Study,4,A,8.5,8.14
92,Student 4,Semester 8,CSE700,Effective Teaching,4,A,9.17,8.39
93,Student 4,Semester 3,ESC203*,Signal and Systems,4,A-,8.8,8.27
94,Student 4,Semester 3,CSE201,Advanced Programming,4,A,8.8,8.27
95,Student 4,Semester 7,MTH303,Graph Theory,4,A-,9.33,8.29
96,Student 4,Semester 1,CSE101,Introduction to Programming,4,B,7.2,7.2
97,Student 4,Semester 2,CSE102,Data Structures and Algorithms,4,A,8.8,8.0
98,Student 4,Semester 7,CSE511,Computer Architecture,4,A,9.33,8.29
99,Student 4,Semester 3,MTH201,Probability and Statistics ,4,C,8.8,8.27
100,Student 4,Semester 4,ESC202,Digital Communication,4,B-,8.4,8.3
101,Student 4,Semester 2,MTH101,Linear Algebra and Advanced Calculus,4,B,8.8,8.0
102,Student 4,Semester 3,COM201,Critical Reading,4,A,8.8,8.27
103,Student 4,Semester 2,CSE122*,Theory of Computation,4,A,8.8,8.0
104,Student 4,Semester 8,FIN401A,Introduction To Finance and Capital Markets,2,A,9.17,8.39
105,Student 4,Semester 8,CSE440,Intelligent Systems 1,4,B-,9.17,8.39
106,Student 4,Semester 8,CSE531,Multiagent Systems,4,B,9.17,8.39
107,Student 4,Semester 7,CSE526A,PvsNP,2,A,9.33,8.29
108,Student 4,Semester 6,CSE522,Verification of Reactive Systems,4,B,8.5,8.14
109,Student 4,Semester 4,CSE202,Fundamentals of Database Systems,4,A-,8.4,8.3
110,Student 4,Semester 7,CSE301,Compilers,4,A+,9.33,8.29
111,Student 4,Semester 1,CSE131,System Management,4,B-,7.2,7.2
112,Student 4,Semester 1,CSE111,Digital Circuits,4,B,7.2,7.2
113,Student 4,Semester 5,CSE320,Advanced Algorithms ,4,B,7.2,8.08
114,Student 4,Semester 4,CSE232,Computer Networks,4,A,8.4,8.3
115,Student 4,Semester 8,CSE499B,BTech Project,6,A,9.17,8.39
116,Student 4,Semester 4,CSE222,Analysis and Design of Algorithms,4,B,8.4,8.3
117,Student 4,Semester 7,HSS210*,History of Indian National Movement,4,B-,9.33,8.29
118,Student 4,Semester 5,CSE345,Foundations of Computer Security,4,C-,7.2,8.08
119,Student 4,Semester 2,CSE112,Computer Organisation,4,A-,8.8,8.0
120,Student 4,Semester 3,CSE231,Operating Systems ,4,A-,8.8,8.27
