SN.,Roll No,Batch / Term Code,Course Code,Course,Credit,Grade,SPI,CPI
1,Student 1,Semester 8,HSS212*,Critical Thinking,4,B-,4.4,5.97
2,Student 1,Semester 3,CSE201,Advanced Programming,4,C,6.0,5.77
3,Student 1,Semester 1,MTH100,Maths I,4,F,5.8,6.75
4,Student 1,Semester 1,CSE101,Introduction to Programming,4,B-,5.8,6.75
5,Student 1,Semester 8,CSE499,BTech Project,4,C-,4.4,5.97
6,Student 1,Semester 7,ECO301,Introduction to Economic Analysis,4,C-,6.4,6.09
7,Student 1,Semester 1,CSE131,System Management,4,C,5.8,6.75
8,Student 1,Semester 1,COM101,Communication Skills,4,B,5.8,6.75
9,Student 1,Semester 2,CSE102,Data Structures and Algorithms,4,D,4.0,5.63
10,Student 1,Semester 3,CSE121,Discrete Mathematics,4,C-,6.0,5.77
11,Student 1,Semester 2,CSE112,Computer Organisation,4,D,4.0,5.63
12,Student 1,Semester 3,ESC202,Digital Communication,4,C,6.0,5.77
13,Student 1,Semester 8,CSE342*,Pattern Recognition,4,D,4.4,5.97
14,Student 1,Semester 2,ECE101,Basic Electronic Circuits,4,F,4.0,5.63
15,Student 1,Semester 1,CSE111,Digital Circuits,4,C,5.8,6.75
16,Student 1,Semester 8,CSE694F,Multimedia Security,4,F,4.4,5.97
17,Student 1,Semester 7,CSE546,Applied Cryptography,4,C-,6.4,6.09
18,Student 1,Semester 2,HSS202*,Perspectives on Knowledge,4,C,4.0,5.63
19,Student 1,Semester 2,MTH201,Probability and Statistics ,4,D,4.0,5.63
20,Student 1,Semester 7,CSE343,Machine Learning,4,B-,6.4,6.09
21,Student 1,Semester 6,CSE401A*,Competitive Programming,2,B,6.8,6.04
22,Student 1,Semester 8,CSE560,GPU Computing,4,D,4.4,5.97
23,Student 1,Semester 6,CSE440,Intelligent Systems 1,4,C,6.8,6.04
24,Student 1,Semester 4,CSE222,Analysis and Design of Algorithms,4,B-,5.4,5.67
25,Student 1,Semester 6,CSE508,Information Retrieval,4,B-,6.8,6.04
26,Student 1,Semester 5,CSE300,Software Engineering ,4,B-,6.6,5.87
27,Student 1,Summer Term 4,HSS398,Independent Study,4,D,4.0,5.92
28,Student 1,Semester 4,CSE232,Computer Networks,4,C-,5.4,5.67
29,Student 1,Semester 6,DES130,Introduction to Engineering Design,4,D,6.8,6.04
30,Student 1,Semester 4,HSS204*,Introduction to Psychology,4,C-,5.4,5.67
31,Student 1,Semester 4,MTH202,Maths : Algebra,4,C-,5.4,5.67
32,Student 1,Semester 5,CSE340*,Image Analysis ,4,B,6.6,5.87
33,Student 1,Semester 7,CSE499,BTech Project,4,B,6.4,6.09
34,Student 1,Semester 3,COM201B,Critical Reading,4,B-,6.0,5.77
35,Student 1,Semester 6,FIN401A,Introduction To Finance and Capital Markets,2,B,6.8,6.04
36,Student 1,Semester 4,CSE202,Fundamentals of Database Systems,4,C-,5.4,5.67
37,Student 1,Semester 7,ECO304*,Introduction to Game Theory,4,B-,6.4,6.09
38,Student 1,Semester 5,COM301,Technical Communication,4,B,6.6,5.87
39,Student 1,Semester 5,MTH303,Graph Theory,4,C-,6.6,5.87
40,Student 1,Semester 6,CSE499,BTech Project,4,A-,6.8,6.04
41,Student 1,Semester 5,MTH100,Maths I,4,C-,6.6,5.87
42,Student 1,Semester 3,CSE231,Operating Systems ,4,C,6.0,5.77
43,Student 2,Semester 6,CSE602,Program Optimization,4,B,7.75,6.5
44,Student 2,Semester 7,ESC205,Environmental Sciences,4,A-,7.8,6.74
45,Student 2,Semester 8,BIO506,Stochastic Simulations in System Biology and Biophysics,4,A,8.0,6.89
46,Student 2,Semester 2,MTH201,Probability and Statistics ,4,F,2.8,6.29
47,Student 2,Semester 3,COM201B,Critical Reading,4,A-,4.8,6.0
48,Student 2,Semester 1,CSE101,Introduction to Programming,4,A,7.2,7.2
49,Student 2,Semester 4,ESC206,Computational Genomics,4,C-,4.6,5.56
50,Student 2,Semester 5,CSE301,Compilers,4,A-,8.0,6.14
51,Student 2,Semester 3,CSE121,Discrete Mathematics,4,D,4.8,6.0
52,Student 2,Semester 7,HSS202*,Perspectives on Knowledge,4,A-,7.8,6.74
53,Student 2,Summer Term 3,CSE399,Independent Project,4,B,8.0,6.55
