0	[2, 3, 5, 6]
1	[8, 4, 6]
2	[8, 4, 5, 6, 7]
3	[5, 6, 7]
4	[1, 2, 6, 7]
5	[5, 7]
6	[3]
7	[2, 3, 4, 5, 6, 7, 8]
8	[2, 3, 4, 5, 6, 7, 8]
9	[2, 3, 4, 5, 6, 7, 8]
10	[2, 3, 4, 5, 6, 7, 8]
11	[8, 3, 5, 6, 7]
12	[8, 5, 6, 7]
13	[5]
14	[8, 6]
15	[8, 6]
16	[1, 3, 5]
17	[5, 6, 7]
18	[1, 2, 3, 5, 6, 8]
19	[5, 7]
20	[3]
21	[4, 6]
22	[1, 5, 7]
23	[3, 5]
24	[1, 5, 6, 7]
25	[8, 2, 4, 6, 7]
26	[2, 4, 6]
27	[8, 6]
28	[2]
29	[8, 6]
30	[8, 2, 3, 6]
31	[1, 3, 5, 7]
32	[5, 7]
33	[5, 7]
34	[8, 5, 6, 7]
35	[8, 6]
36	[3, 4, 6]
37	[8, 3, 5]
38	[4, 7]
39	[1, 2, 3]
40	[5]
41	[1, 2, 3]
42	[8, 4, 6]
43	[8, 6]
44	[8, 6]
45	[5, 7]
46	[5, 7]
47	[2, 3, 4, 5, 6, 7, 8]
48	[8, 6, 7]
49	[5, 7]
50	[6]
51	[3]
52	[5, 7]
53	[6]
54	[3, 4, 5, 6, 7, 8]
55	[8, 5, 6, 7]
56	[8, 6]
57	[6]
58	[5, 7]
59	[2, 3, 4, 5, 6, 7, 8]
60	[8, 5, 6]
61	[3, 4, 5, 7]
62	[8, 2, 4, 6]
63	[5, 7]
64	[8, 5, 6, 7]
65	[7]
66	[8, 6]
67	[8, 5, 6]
68	[5, 7]
69	[5, 7]
70	[4]
71	[8, 5, 6, 7]
72	[8, 6]
73	[2]
74	[5, 7]
75	[5, 7]
76	[8, 6]
77	[8, 7]
78	[8, 6]
79	[5, 7]
80	[3, 5]
81	[1, 5, 7]
82	[8, 3, 5, 6, 7]
83	[5]
84	[8, 5, 6, 7]
85	[8, 6]
86	[8, 6]
87	[8, 6]
88	[8, 4, 6]
89	[5, 7]
90	[3, 5]
91	[8, 6, 7]
92	[8, 6, 7]
93	[8, 6]
94	[5, 7]
95	[8, 2, 4, 6]
96	[7]
97	[8, 5, 6, 7]
98	[5, 7]
99	[8]
100	[8]
101	[8, 6]
102	[2, 3, 5, 6, 7, 8]
103	[8, 5, 6]
104	[3, 4, 5, 6, 7, 8]
105	[8, 4, 6]
106	[8]
107	[8, 4, 6]
108	[7]
109	[5, 7]
110	[8, 5, 6, 7]
111	[8]
112	[8, 6]
113	[2, 3, 4]
114	[8, 2, 6]
115	[8, 4, 5, 6, 7]
116	[8, 4, 5, 6, 7]
117	[5, 7]
118	[3, 5, 7]
119	[4]
120	[8, 6]
121	[8, 6]
122	[8, 4, 5, 6, 7]
123	[8, 5, 6, 7]
124	[8]
125	[7]
126	[2, 3, 5, 6, 7, 8]
127	[5, 7]
128	[3, 5, 7]
129	[1, 5, 7]
130	[8, 6]
131	[3, 4, 5, 6, 7, 8]
132	[5, 7]
133	[8, 6]
134	[8, 2, 3, 6, 7]
135	[8, 6]
136	[8]
137	[5, 7]
138	[7]
139	[8, 6]
140	[8, 6]
141	[8, 2, 6]
142	[7]
143	[8, 6, 7]
144	[5, 7]
145	[8, 6, 7]
146	[5, 7]
147	[8, 3, 7]
148	[5, 7]
149	[3]
150	[2]
151	[8, 6]
152	[8, 5, 6, 7]
153	[8, 2, 6]
154	[3, 4, 5, 6, 7, 8]
155	[8, 6]
156	[3, 5, 7]
157	[4]
158	[8, 4, 6]
159	[8, 6]
160	[8, 6]
161	[8, 6]
162	[3]
163	[8, 6]
164	[8, 6]
165	[8, 6]
166	[5, 7]
167	[7]
168	[5, 7]
169	[4]
170	[1, 2, 3, 4, 5]
171	[5]
172	[8, 6]
173	[8, 6]
174	[2, 3, 4, 5, 6, 7, 8]
175	[4, 6]
176	[8, 4, 5, 6]
177	[2, 3, 4, 5]
178	[5, 7]
179	[8, 3, 4, 6]
180	[8, 6]
181	[8, 6]
182	[8, 4, 6]
183	[8, 4]
184	[5, 7]
185	[5, 7]
186	[5, 7]
187	[7]
188	[8, 5, 7]
189	[8]
190	[4]
191	[8, 3, 4, 6]
192	[4]
193	[8, 4, 6]
194	[3, 5, 7]
195	[5, 7]
196	[8, 6]
197	[3]
198	[5, 7]
199	[4]
200	[8, 2, 3, 4, 5]
201	[3]
202	[8, 5, 7]
203	[8, 3, 4, 6, 7]
204	[5, 7]
205	[8, 6]
206	[3, 6]
207	[8, 6]
208	[3]
209	[8, 7]
